Track_Name,Track_ID,URL,Artist(s),Album,Popularity,Duration,Tempo,Key,Mode,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveliness,Valence,Time_Signature,Common Genre
Car's Outside,spotify:track:0otRX6Z89qKkHkQ9OqJpKt,https://open.spotify.com/track/0otRX6Z89qKkHkQ9OqJpKt,['James Arthur'],YOU,88,4.14,149.907,9,1,0.338,0.562,-7.181,0.029,0.039,0.0,0.107,0.259,4,uk pop
Rewrite The Stars (with James Arthur & Anne-Marie),spotify:track:6mQLN3zRtAp6ovjusyYKrV,https://open.spotify.com/track/6mQLN3zRtAp6ovjusyYKrV,"['James Arthur', 'Anne-Marie']",Rewrite The Stars (with James Arthur & Anne-Marie),82,3.64,125.944,10,1,0.67,0.743,-4.993,0.0393,0.237,0.0,0.465,0.571,4,uk pop
Train Wreck,spotify:track:55Am8neGJkdj2ADaM3aw5H,https://open.spotify.com/track/55Am8neGJkdj2ADaM3aw5H,['James Arthur'],Back from the Edge,82,3.48,77.355,6,0,0.311,0.485,-5.726,0.0365,0.701,0.0,0.0726,0.225,4,uk pop
Can I Be Him,spotify:track:0VhgEqMTNZwYL1ARDLLNCX,https://open.spotify.com/track/0VhgEqMTNZwYL1ARDLLNCX,['James Arthur'],Back from the Edge,81,4.11,107.969,11,1,0.696,0.543,-6.164,0.0489,0.308,0.0,0.0939,0.479,4,uk pop
Someone You Loved,spotify:track:7qEHsqek33rTcFNT9PFqLf,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,['Lewis Capaldi'],Divinely Uninspired To A Hellish Extent,90,3.04,109.891,1,1,0.501,0.405,-5.679,0.0319,0.751,0.0,0.105,0.446,4,uk pop
Before You Go,spotify:track:2gMXnyrvIjhVBUZwvLZDMP,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP,['Lewis Capaldi'],Divinely Uninspired To A Hellish Extent (Extended Edition),86,3.59,111.881,3,1,0.459,0.575,-4.858,0.0573,0.604,0.0,0.0885,0.183,4,uk pop
Bruises,spotify:track:4Of7rzpRpV1mWRbhp5rAqG,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG,['Lewis Capaldi'],Divinely Uninspired To A Hellish Extent,83,3.67,111.202,4,1,0.736,0.308,-7.83,0.0677,0.946,0.0,0.186,0.361,4,uk pop
Wish You The Best,spotify:track:3gdPwk2wyOXNRnTA1KXnEr,https://open.spotify.com/track/3gdPwk2wyOXNRnTA1KXnEr,['Lewis Capaldi'],Broken By Desire To Be Heavenly Sent,82,3.51,107.95,3,1,0.676,0.461,-3.59,0.0304,0.555,0.0,0.0951,0.466,4,uk pop
Hold Me While You Wait,spotify:track:60iSKGrGazRzICtMjADNSM,https://open.spotify.com/track/60iSKGrGazRzICtMjADNSM,['Lewis Capaldi'],Divinely Uninspired To A Hellish Extent,80,3.43,106.958,11,1,0.688,0.53,-5.507,0.0333,0.443,0.0,0.0995,0.162,4,uk pop
Miracle (with Ellie Goulding),spotify:track:5eTaQYBE1yrActixMAeLcZ,https://open.spotify.com/track/5eTaQYBE1yrActixMAeLcZ,"['Calvin Harris', 'Ellie Goulding']",Miracle (with Ellie Goulding),85,3.11,143.011,9,1,0.636,0.869,-5.289,0.0412,0.0378,0.0446,0.0808,0.306,4,metropopolis
Outside (feat. Ellie Goulding),spotify:track:7MmG8p0F9N3C4AXdK6o6Eb,https://open.spotify.com/track/7MmG8p0F9N3C4AXdK6o6Eb,"['Calvin Harris', 'Ellie Goulding']",Motion,84,3.79,128.035,2,0,0.646,0.823,-4.123,0.0394,0.213,0.0,0.322,0.418,4,metropopolis
"Love Me Like You Do - From ""Fifty Shades Of Grey""",spotify:track:3zHq9ouUJQFQRf3cm1rRLu,https://open.spotify.com/track/3zHq9ouUJQFQRf3cm1rRLu,['Ellie Goulding'],Delirium (Deluxe),80,4.21,189.857,8,1,0.262,0.606,-6.646,0.0484,0.247,0.0,0.125,0.275,4,metropopolis
Burn,spotify:track:5lF0pHbsJ0QqyIrLweHJPW,https://open.spotify.com/track/5lF0pHbsJ0QqyIrLweHJPW,['Ellie Goulding'],Halcyon Nights,77,3.85,86.921,1,1,0.555,0.772,-5.007,0.0523,0.315,0.0,0.105,0.346,4,metropopolis
All By Myself,spotify:track:5Hp4xFihdOE2dmDzxWcBFb,https://open.spotify.com/track/5Hp4xFihdOE2dmDzxWcBFb,"['Alok', 'Sigala', 'Ellie Goulding']",All By Myself,76,2.86,123.041,0,0,0.662,0.848,-4.338,0.0346,0.0932,7.62e-06,0.241,0.773,4,metropopolis
Royals,spotify:track:2dLLR6qlu5UJ5gk0dKz0h3,https://open.spotify.com/track/2dLLR6qlu5UJ5gk0dKz0h3,['Lorde'],Pure Heroine,83,3.17,84.878,7,1,0.674,0.428,-9.504,0.122,0.121,0.0,0.132,0.337,4,metropopolis
Team,spotify:track:3G6hD9B2ZHOsgf4WfNu7X1,https://open.spotify.com/track/3G6hD9B2ZHOsgf4WfNu7X1,['Lorde'],Pure Heroine,82,3.22,99.961,6,1,0.69,0.578,-7.436,0.0929,0.167,0.0,0.305,0.416,4,metropopolis
Ribs,spotify:track:2MvvoeRt8NcOXWESkxWn3g,https://open.spotify.com/track/2MvvoeRt8NcOXWESkxWn3g,['Lorde'],Pure Heroine,81,4.32,127.978,4,1,0.511,0.472,-9.277,0.091,0.534,0.614,0.11,0.0399,4,metropopolis
Green Light,spotify:track:6ie2Bw3xLj2JcGowOlcMhb,https://open.spotify.com/track/6ie2Bw3xLj2JcGowOlcMhb,['Lorde'],Melodrama,75,3.91,128.942,2,1,0.594,0.721,-7.812,0.0957,0.0209,8.55e-06,0.0879,0.253,4,metropopolis
Liability,spotify:track:6Kkt27YmFyIFrcX3QXFi2o,https://open.spotify.com/track/6Kkt27YmFyIFrcX3QXFi2o,['Lorde'],Melodrama,75,2.86,75.67,10,0,0.587,0.229,-11.254,0.128,0.92,0.0,0.1,0.379,4,metropopolis
Speed Drive (From Barbie The Album),spotify:track:5VxmI3IdgAxWVvUnJoLuY2,https://open.spotify.com/track/5VxmI3IdgAxWVvUnJoLuY2,['Charli XCX'],Speed Drive (From Barbie The Album),83,1.96,173.925,0,1,0.652,0.879,-6.405,0.0784,0.00284,0.0896,0.0918,0.789,4,metropopolis
In The City,spotify:track:3xY5aYJcdvZX9xQxNd02ku,https://open.spotify.com/track/3xY5aYJcdvZX9xQxNd02ku,"['Charli XCX', 'Sam Smith']",In The City,78,2.94,128.046,4,1,0.736,0.754,-5.457,0.0443,0.033,0.000599,0.0731,0.648,4,metropopolis
Yuck,spotify:track:5cYEuFqzITZlZzpoR1sHvu,https://open.spotify.com/track/5cYEuFqzITZlZzpoR1sHvu,['Charli XCX'],CRASH,65,2.31,100.939,1,1,0.765,0.675,-5.687,0.0402,0.0585,1.51e-06,0.0703,0.886,4,metropopolis
