,Name,ID,Genres,Followers,Popularity
0,Sia,5WUlDfRSoLAfcVSX1WnrxN,"['australian dance', 'australian pop', 'pop']",27350311,83
1,Taylor Swift,06HL4z0CvFAxyc27GXpf02,['pop'],94400005,100
2,Kygo,23fqKkggKUBHNkbKtXEls4,"['edm', 'pop', 'pop dance', 'tropical house']",8444136,75
3,BTS,3Nrfpe0tUJi4K4DXYWgMUX,"['k-pop', 'k-pop boy group', 'pop']",71377517,85
4,Tainy,0GM7qgcRCORpGnfcN2tCiB,"['pop reggaeton', 'reggaeton', 'trap latino', 'urbano latino']",1842674,77
5,Zedd,2qxJFvFYMEDqd7ui6kSAcq,"['complextro', 'edm', 'german techno', 'pop', 'pop dance']",6004030,72
6,Marshmello,64KEffDW9EtZ1y2vBYgq8T,"['brostep', 'edm', 'pop', 'progressive electro house']",35166776,83
7,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,"['pop', 'viral pop']",21886337,79
8,BANNERS,4qWnlmXWuGv2TtuxtIWlJX,['indie poptimism'],630316,63
9,Avicii,1vCWHaC5f2uS3yhpwWbIA6,"['dance pop', 'edm', 'pop', 'pop dance']",23251515,78
10,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,"['canadian pop', 'pop', 'viral pop']",42862332,80
11,Glass Animals,4yvcSjfu4PC0CYQyLy4wSq,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']",3952755,72
12,Flo Rida,0jnsk9HBra6NMjO2oANoPY,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",8880645,76
13,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,['pop'],20516919,78
14,WALK THE MOON,6DIS6PRrLS3wbnZsf7vYic,"['dance rock', 'modern alternative rock', 'modern rock', 'neo mellow', 'pop rock']",2117781,65
15,Clean Bandit,6MDME20pz9RveH9rEXvrOM,"['pop', 'uk dance', 'uk funky']",5361605,71
16,Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,['pop soul'],1050499,71
17,Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,"['houston rap', 'pop', 'r&b', 'rap', 'trap queen']",8215332,75
18,Grey,4lDBihdpMlOalxy1jkUbPl,['pop edm'],73821,63
19,DJ Snake,540vIaP2JwjQb9dm3aArA4,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance']",8779692,76
20,Harry Styles,6KImCVD70vtIoJWnq6nGn3,['pop'],30346144,83
21,The Kid LAROI,2tIP7SsRs7vjIcLrU85W8J,['australian hip hop'],4927850,81
22,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,"['dance pop', 'pop', 'uk pop']",42353541,85
23,Panic! At The Disco,20JZFwl6HVl6yg8a4H3ZqK,"['modern rock', 'pop']",12068563,74
24,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,"['canadian pop', 'pop']",74884572,87
25,Lauv,5JZ7CnR6gTvEMKX4g70Amv,['pop'],6073149,74
26,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,"['pop', 'singer-songwriter pop', 'uk pop']",115740668,86
27,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,['pop'],22791313,82
28,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",26516492,85
29,Wiz Khalifa,137W8MRPWKqSmrBGDBFSop,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",11231420,79
